,player,index,minutes,total_mins
522,player3,3,29.9,221.5
523,player4,4,28.5,221.5
524,player5,5,25.1,221.5
525,player6,6,23.8,221.5
526,player7,7,21.3,221.5
527,player8,8,21.0,221.5
528,player1,1,36.2,218.2
529,player2,2,32.1,218.2
530,player3,3,30.3,218.2
531,player4,4,27.8,218.2
532,player5,5,23.9,218.2
533,player6,6,23.5,218.2
534,player7,7,23.5,218.2
535,player8,8,20.9,218.2
536,player1,1,38.0,228.1
537,player2,2,35.8,228.1
538,player3,3,34.3,228.1
539,player4,4,33.0,228.1
540,player5,5,31.4,228.1
541,player6,6,22.9,228.1
542,player7,7,19.8,228.1
543,player8,8,12.9,228.1
544,player1,1,36.1,218.1
545,player2,2,35.0,218.1
546,player3,3,30.7,218.1
547,player4,4,27.4,218.1
548,player5,5,26.7,218.1
549,player6,6,21.6,218.1
550,player7,7,20.8,218.1
551,player8,8,19.8,218.1
552,player1,1,35.7,228.9
553,player2,2,34.8,228.9
554,player3,3,30.9,228.9
555,player4,4,26.6,228.9
556,player5,5,26.5,228.9
557,player6,6,25.7,228.9
558,player7,7,24.6,228.9
559,player8,8,24.1,228.9
560,player1,1,36.7,226.8
561,player2,2,35.8,226.8
562,player3,3,29.7,226.8
563,player4,4,28.7,226.8
564,player5,5,28.7,226.8
565,player6,6,23.9,226.8
566,player7,7,23.0,226.8
567,player8,8,20.3,226.8
568,player1,1,38.2,226.3
569,player2,2,36.2,226.3
570,player3,3,28.8,226.3
571,player4,4,28.2,226.3
572,player5,5,26.7,226.3
573,player6,6,23.6,226.3
574,player7,7,22.5,226.3
575,player8,8,22.1,226.3
576,player1,1,35.0,223.7
577,player2,2,34.5,223.7
578,player3,3,26.6,223.7
579,player4,4,26.4,223.7
580,player5,5,26.2,223.7
581,player6,6,25.5,223.7
582,player7,7,25.2,223.7
583,player8,8,24.3,223.7
584,player1,1,37.0,226.20000000000002
585,player2,2,35.9,226.20000000000002
586,player3,3,30.2,226.20000000000002
587,player4,4,26.0,226.20000000000002
588,player5,5,25.6,226.20000000000002
589,player6,6,25.6,226.20000000000002
590,player7,7,23.9,226.20000000000002
591,player8,8,22.0,226.20000000000002
592,player1,1,37.4,232.6
593,player2,2,35.4,232.6
594,player3,3,30.7,232.6
595,player4,4,27.6,232.6
596,player5,5,26.1,232.6
597,player6,6,25.8,232.6
598,player7,7,25.0,232.6
599,player8,8,24.6,232.6
600,player1,1,33.9,197.5
601,player2,2,32.2,197.5
602,player3,3,27.5,197.5
603,player4,4,22.4,197.5
604,player5,5,20.8,197.5
605,player6,6,20.7,197.5
606,player7,7,20.0,197.5
607,player8,8,20.0,197.5
608,player1,1,34.0,233.29999999999998
609,player2,2,34.0,233.29999999999998
610,player3,3,31.9,233.29999999999998
611,player4,4,30.8,233.29999999999998
612,player5,5,27.7,233.29999999999998
613,player6,6,27.5,233.29999999999998
614,player7,7,27.2,233.29999999999998
615,player8,8,20.2,233.29999999999998
616,player1,1,36.2,243.3
617,player2,2,35.7,243.3
618,player3,3,35.2,243.3
619,player4,4,29.9,243.3
620,player5,5,28.4,243.3
621,player6,6,27.0,243.3
622,player7,7,26.4,243.3
623,player8,8,24.5,243.3
624,player1,1,35.9,208.39999999999998
625,player2,2,35.4,208.39999999999998
626,player3,3,29.7,208.39999999999998
627,player4,4,27.7,208.39999999999998
628,player5,5,25.6,208.39999999999998
629,player6,6,22.2,208.39999999999998
630,player7,7,19.8,208.39999999999998
631,player8,8,12.1,208.39999999999998
632,player1,1,35.7,211.8
633,player2,2,31.7,211.8
634,player3,3,29.2,211.8
635,player4,4,28.7,211.8
636,player5,5,28.3,211.8
637,player6,6,20.0,211.8
638,player7,7,19.8,211.8
639,player8,8,18.4,211.8
640,player1,1,38.0,213.5
641,player2,2,31.3,213.5
642,player3,3,30.3,213.5
643,player4,4,30.2,213.5
644,player5,5,26.2,213.5
645,player6,6,20.6,213.5
646,player7,7,19.6,213.5
647,player8,8,17.3,213.5
648,player1,1,36.2,214.2
649,player2,2,32.8,214.2
650,player3,3,29.0,214.2
651,player4,4,27.7,214.2
652,player5,5,27.7,214.2
653,player6,6,23.8,214.2
654,player7,7,19.1,214.2
655,player8,8,17.9,214.2
656,player1,1,37.1,223.3
657,player2,2,36.6,223.3
658,player3,3,28.3,223.3
659,player4,4,28.0,223.3
660,player5,5,27.6,223.3
661,player6,6,24.6,223.3
662,player7,7,21.4,223.3
663,player8,8,19.7,223.3
664,player1,1,34.7,223.10000000000002
665,player2,2,33.1,223.10000000000002
666,player3,3,32.9,223.10000000000002
667,player4,4,28.4,223.10000000000002
668,player5,5,28.1,223.10000000000002
669,player6,6,26.1,223.10000000000002
670,player7,7,20.5,223.10000000000002
671,player8,8,19.3,223.10000000000002
672,player1,1,37.7,229.7
673,player2,2,35.9,229.7
674,player3,3,31.1,229.7
675,player4,4,28.8,229.7
676,player5,5,27.4,229.7
677,player6,6,25.8,229.7
678,player7,7,21.9,229.7
679,player8,8,21.1,229.7
680,player1,1,36.9,225.0
681,player2,2,34.6,225.0
682,player3,3,33.3,225.0
683,player4,4,29.3,225.0
684,player5,5,27.9,225.0
685,player6,6,25.5,225.0
686,player7,7,19.5,225.0
687,player8,8,18.0,225.0
688,player1,1,37.3,225.7
689,player2,2,34.9,225.7
690,player3,3,33.2,225.7
691,player4,4,30.8,225.7
692,player5,5,27.5,225.7
693,player6,6,23.1,225.7
694,player7,7,20.8,225.7
695,player8,8,18.1,225.7
696,player1,1,36.8,230.5
697,player2,2,33.5,230.5
698,player3,3,32.4,230.5
699,player4,4,32.2,230.5
700,player5,5,30.1,230.5
701,player6,6,27.3,230.5
702,player7,7,24.0,230.5
703,player8,8,14.2,230.5
704,player1,1,36.9,213.8
705,player2,2,34.3,213.8
706,player3,3,29.4,213.8
707,player4,4,29.0,213.8
708,player5,5,27.8,213.8
709,player6,6,24.7,213.8
710,player7,7,18.3,213.8
711,player8,8,13.4,213.8
712,player1,1,35.9,220.1
713,player2,2,34.3,220.1
714,player3,3,31.7,220.1
715,player4,4,31.2,220.1
716,player5,5,30.8,220.1
717,player6,6,19.7,220.1
718,player7,7,19.6,220.1
719,player8,8,16.9,220.1
720,player1,1,33.1,216.3
721,player2,2,30.8,216.3
722,player3,3,30.4,216.3
723,player4,4,29.2,216.3
724,player5,5,27.4,216.3
725,player6,6,23.7,216.3
726,player7,7,23.2,216.3
727,player8,8,18.5,216.3
728,player1,1,36.4,224.39999999999998
729,player2,2,32.3,224.39999999999998
730,player3,3,30.2,224.39999999999998
731,player4,4,28.1,224.39999999999998
732,player5,5,27.0,224.39999999999998
733,player6,6,26.7,224.39999999999998
734,player7,7,25.4,224.39999999999998
735,player8,8,18.3,224.39999999999998
736,player1,1,34.4,219.6
737,player2,2,33.3,219.6
738,player3,3,30.8,219.6
739,player4,4,30.1,219.6
740,player5,5,26.3,219.6
741,player6,6,22.2,219.6
742,player7,7,21.3,219.6
743,player8,8,21.2,219.6
744,player1,1,36.2,220.10000000000002
745,player2,2,32.2,220.10000000000002
746,player3,3,32.0,220.10000000000002
747,player4,4,31.7,220.10000000000002
748,player5,5,25.7,220.10000000000002
749,player6,6,21.3,220.10000000000002
750,player7,7,20.7,220.10000000000002
751,player8,8,20.3,220.10000000000002
752,player1,1,34.5,220.10000000000002
753,player2,2,33.9,220.10000000000002
754,player3,3,31.5,220.10000000000002
755,player4,4,27.0,220.10000000000002
756,player5,5,24.0,220.10000000000002
757,player6,6,23.7,220.10000000000002
758,player7,7,23.6,220.10000000000002
759,player8,8,21.9,220.10000000000002
760,player1,1,33.4,218.7
761,player2,2,32.4,218.7
762,player3,3,31.5,218.7
763,player4,4,29.3,218.7
764,player5,5,28.0,218.7
765,player6,6,26.1,218.7
766,player7,7,21.2,218.7
767,player8,8,16.8,218.7
768,player1,1,33.7,214.5
769,player2,2,31.8,214.5
770,player3,3,31.3,214.5
771,player4,4,27.9,214.5
772,player5,5,27.1,214.5
773,player6,6,23.2,214.5
774,player7,7,20.4,214.5
775,player8,8,19.1,214.5
776,player1,1,34.3,228.99999999999997
777,player2,2,34.3,228.99999999999997
778,player3,3,33.1,228.99999999999997
779,player4,4,29.7,228.99999999999997
780,player5,5,29.0,228.99999999999997
781,player6,6,28.9,228.99999999999997
782,player7,7,24.0,228.99999999999997
783,player8,8,15.7,228.99999999999997
784,player1,1,38.4,208.0
785,player2,2,34.1,208.0
786,player3,3,29.1,208.0
787,player4,4,29.0,208.0
788,player5,5,23.6,208.0
789,player6,6,22.5,208.0
790,player7,7,17.6,208.0
791,player8,8,13.7,208.0
792,player1,1,40.5,234.29999999999998
793,player2,2,38.7,234.29999999999998
794,player3,3,36.3,234.29999999999998
795,player4,4,29.9,234.29999999999998
796,player5,5,29.7,234.29999999999998
797,player6,6,21.5,234.29999999999998
798,player7,7,20.9,234.29999999999998
799,player8,8,16.8,234.29999999999998
800,player1,1,38.4,243.39999999999998
801,player2,2,37.3,243.39999999999998
802,player3,3,34.5,243.39999999999998
803,player4,4,33.2,243.39999999999998
804,player5,5,30.3,243.39999999999998
805,player6,6,24.6,243.39999999999998
806,player7,7,23.5,243.39999999999998
807,player8,8,21.6,243.39999999999998
808,player1,1,39.1,241.7
809,player2,2,34.0,241.7
810,player3,3,33.9,241.7
811,player4,4,33.4,241.7
812,player5,5,29.8,241.7
813,player6,6,28.4,241.7
814,player7,7,22.3,241.7
815,player8,8,20.8,241.7
816,player1,1,40.3,253.8
817,player2,2,36.4,253.8
818,player3,3,36.3,253.8
819,player4,4,36.1,253.8
820,player5,5,33.9,253.8
821,player6,6,28.6,253.8
822,player7,7,23.7,253.8
823,player8,8,18.5,253.8
824,player1,1,38.6,243.39999999999998
825,player2,2,38.4,243.39999999999998
826,player3,3,37.3,243.39999999999998
827,player4,4,36.2,243.39999999999998
828,player5,5,29.7,243.39999999999998
829,player6,6,21.4,243.39999999999998
830,player7,7,21.2,243.39999999999998
831,player8,8,20.6,243.39999999999998
832,player1,1,39.4,248.60000000000002
833,player2,2,38.6,248.60000000000002
834,player3,3,37.0,248.60000000000002
835,player4,4,32.4,248.60000000000002
836,player5,5,28.0,248.60000000000002
837,player6,6,27.2,248.60000000000002
838,player7,7,26.6,248.60000000000002
839,player8,8,19.4,248.60000000000002
840,player1,1,37.7,229.89999999999998
841,player2,2,35.2,229.89999999999998
842,player3,3,34.0,229.89999999999998
843,player4,4,28.3,229.89999999999998
844,player5,5,27.0,229.89999999999998
845,player6,6,25.2,229.89999999999998
846,player7,7,22.8,229.89999999999998
847,player8,8,19.7,229.89999999999998
848,player1,1,38.1,250.20000000000002
849,player2,2,36.3,250.20000000000002
850,player3,3,34.9,250.20000000000002
851,player4,4,32.0,250.20000000000002
852,player5,5,31.1,250.20000000000002
853,player6,6,29.1,250.20000000000002
854,player7,7,26.5,250.20000000000002
855,player8,8,22.2,250.20000000000002
856,player1,1,38.2,223.2
857,player2,2,31.1,223.2
858,player3,3,30.4,223.2
859,player4,4,29.3,223.2
860,player5,5,28.1,223.2
861,player6,6,26.2,223.2
862,player7,7,20.9,223.2
863,player8,8,19.0,223.2
